family,n_specs,n_trials,n_obs,sigma_sr,best_sharpe,mds80_095,power_S05_095,mds80_050,power_S05_050
insider_opportunistic,8,8,2898,0.22049623316005967,0.06991391650388785,1.0556427900845982,0.14890484816784455,0.5700104983845682,0.7271999696518427
ipo_lockup_expiration,24,24,1989,0.4627716091283946,-0.24239278421400204,1.8037303773017834,0.0024254072248893754,1.2162684117399887,0.12127239797343958
ivol,21,21,2926,0.09869577364969892,-0.11371546319840177,0.9199572513367498,0.27816892649958336,0.4367829400450031,0.8547200715821381
jump_drift,24,24,2927,0.3841735956857708,-0.21283514002736248,1.4915664150428418,0.00562774144931133,1.0078155464340128,0.18735199400700653
lazy_prices,36,36,2926,0.1871290241997357,0.6034779547098553,1.132384125284659,0.09484962585579015,0.649001217857708,0.6309060009732339
lazy_prices_ptit_fix_verification,36,36,2926,0.18326918716823976,0.594567228691675,1.124083422351251,0.09970889420895113,0.6407094748340855,0.6415060417385076
lazy_prices_vocab_ceiling_confound,18,36,2926,0.14453141655391205,0.4483397431199828,1.040782120690707,0.15874445062615883,0.5574944480312402,0.7408089052636466
lazy_prices_xom_hypothesis_test_fast,36,36,2926,0.18326944461238692,0.5945670558474161,1.124083975989801,0.09970856415119989,0.6407100278772219,0.6415053382526933
liquidity_shock_delta_illiq,8,8,2925,0.11809574937256186,-0.06450664572182525,0.9026630016516667,0.2983417111022433,0.4194211723128684,0.8677826196611177
low_frequency_patterns,28,28,1416,0.4506433900798842,0.6295947678738745,1.9739596350093473,0.004058146729651435,1.2772209189814219,0.15902205775318712
margin_credit,24,24,201,0.5199515081370489,0.9769722305391436,3.849480548799206,0.016605541685843273,1.9777623990008775,0.31864270836476294
multi_signal_combination,4,332,1480,0.10388932090033882,0.2813607044078492,1.331731071070178,0.12068482656457702,0.651656370581239,0.6824117470214854
ofi_crypto,4,4,2155,0.7388460830452912,0.4616656079438084,,,,
patterns_d2,4,4,2927,0.09317156406065333,-0.07264725493135325,,,,
pead_ear,8,8,1920,0.21040145415358688,-0.0765504819633381,1.2089488939286568,0.13279872263690262,0.612077708251687,0.7028165785103397
phase_a_intraday_expanded,212,212,498,2.000696671142164,0.7994429722551513,7.425918716257314,0.0,6.192647255560754,5.407896352949138e-13
quality_cbop,9,9,2926,0.12505064590307358,0.4565286659064418,0.9204283299137078,0.27763102068702517,0.43725360372508165,0.8543539785809939
quality_noa,9,9,2926,0.07663342595843885,0.6591133900792794,0.8467196871782422,0.36732575236549625,0.3636072994481184,0.9042386023162683
quality_noa_industry_neutral,9,18,2926,0.13681880195808277,0.3002531945560903,0.9839712438661127,0.21005658888787826,0.5007386097687658,0.7992951093128031
quarter_end_marking,18,36,2932,0.4624017590034776,0.43663668006781375,1.7238729056026199,0.0004358012680402146,1.240178285945514,0.04638182501566945
rebalancing_pressure,24,24,5810,0.21041952053070642,0.5658221992153784,0.9348161276985905,0.1065690216689188,0.5919375156338693,0.6555702946728907
residual_momentum,18,18,2929,0.12315746711679662,0.32619252730718185,0.9582406648918914,0.23593913105514996,0.4752795246422854,0.822736529798729
round_c,30,30,2927,0.2543766747550032,0.2762985583535708,1.258003746928887,0.04097070764468391,0.7745598417899573,0.4627850693387725
same_calendar_month_seasonality,8,8,2925,0.21362798992125143,0.23047895130158805,1.0422091979843249,0.1576473799417406,0.5588374779247118,0.7393368405275887
short_interest,12,12,2169,0.19713941633285967,0.7740214099608288,1.176758234996149,0.1267371568966682,0.6152451800633018,0.6927936627402599
small_cap_disposition,12,36,1672,0.3357048735025848,0.45411470426832606,1.6886301725183852,0.013337193728412355,1.0481280766579475,0.28475081988519235
small_cap_dumb_money,12,24,71,0.2758929857723333,0.17555881173994725,5.351008792799815,0.04540993825885775,2.1503783025920855,0.49028814815893196
small_cap_firesale_pressure,12,24,67,0.18671775096219193,0.0,5.315377443914182,0.05490340959523099,2.020850142800242,0.5265848394220436
small_cap_ivol,14,42,1672,0.10133090441752576,-0.41568207026487486,1.190337301301344,0.17499022143232057,0.5507423723689868,0.761468195774033
small_cap_quarter_end_marking,18,36,1677,0.7614840820242729,0.28960761434522947,2.604927488512698,2.324637969453036e-06,1.9629036905678565,0.0017104537908227968
small_cap_tax_loss_selling_turn_of_year,16,32,1677,0.23004516540748532,0.5342899659061833,1.4486949468675379,0.054485787829120946,0.8096239211556222,0.5174139959744496
tax_loss_selling_turn_of_year,16,32,2932,0.23268253980790243,0.5258779506498278,1.218499237346504,0.05401354659997948,0.735514554856474,0.5154990107444429
vol_regime,48,48,4602,0.10613905122663413,0.23023734401174822,0.8221341600365365,0.29662265392419085,0.4369428506010576,0.8667037629778489
