symbol,median_dollar_volume,median_close,daily_vol_bp,tick_floor_half_bp,edge_raw_half_bp
GLPI,100571595.4,45.17,121.26763532285784,1.107,16.282
GLSI,2276083.7,19.57,627.3664629277293,2.555,118.565
GLUE,15617288.5,17.0,563.5731776642791,2.941,143.951
GLW,1308012884.7,132.9,438.3526608928349,0.376,41.24
GLXY,163194742.6,25.5,579.918530117817,1.961,90.202
GM,570724080.6,77.85,210.16229515709045,0.642,15.238
GMAB,49692778.1,29.08,210.6695717888245,1.719,31.897
GME,131290617.9,22.51,238.79903456823513,2.221,40.77
GMED,108473306.0,84.51,282.1509009741034,0.592,44.486
GNE,1070389.1,14.32,179.3984721842693,3.492,36.679
GNK,8298484.2,22.55,225.6030068254321,2.217,54.212
GNL,15355454.4,9.09,134.43667820240455,5.501,31.536
GNLN,100399.4,2.82,838.2815111879079,17.73,177.973
GNLX,553406.4,2.92,525.8365382344977,17.123,68.815
GNPX,527718.2,1.94,892.3302730426942,25.773,395.014
GNRC,180538248.8,195.6,338.1962811078393,0.256,51.132
GNS,622984.6,0.3972,579.8787095337508,125.881,138.573
GNSS,220081.1,1.95,324.75636893573454,25.641,71.887
GNTX,50764284.9,23.67,166.55581700204877,2.112,21.095
GNW,29423717.1,8.83,136.25518412115827,5.663,24.582
GO,26062623.1,9.92,348.9573579891702,5.04,88.117
GOAI,246312.6,3.48,770.3923622999538,14.368,149.693
GOGO,8159598.4,4.49,427.04777788716285,11.136,80.487
GOLD,19092711.4,41.45,339.1276801325231,1.206,49.806
GOLF,27465964.5,89.58,186.217659533433,0.558,29.359
GOOG,6187738201.8,320.62,199.2575387814941,0.156,39.217
GOOGL,9358478432.2,320.21,202.43717776911367,0.156,40.9
GOOS,6422096.8,11.84,293.3976836355132,4.223,44.692
GOSS,5722826.6,0.456,750.9397992170517,109.649,60.604
GOVX,281746.5,0.9742,837.7454309168843,51.324,104.649
GPAT,2708.3,10.782,33.02835600794159,4.637,17.575
GPC,157199821.2,126.21,207.1677143748273,0.396,26.415
GPGI,23447798.8,18.5,389.6051820721249,2.703,33.736
GPI,60774949.8,338.4,247.19161616070983,0.148,26.093
GPK,64560353.0,11.89,286.95443982334126,4.205,49.201
GPN,220402784.2,77.39,249.50963383958018,0.646,48.365
GPOR,49759079.5,185.07,206.88100288775163,0.27,28.208
GPRE,19941427.1,14.65,394.8897990430582,3.413,61.901
GPRK,5667405.4,8.6,345.1098818366858,5.814,49.039
GPRO,5310998.8,1.22,748.712393222038,40.984,90.384
GPUS,5512868.8,0.1938,997.5239575167138,257.998,223.679
GRAL,49857996.6,69.48,529.7537054979921,0.72,68.233
GRBK,15131413.5,69.39,214.7092780013015,0.721,22.402
GRCE,351260.8,3.1,342.3729555355665,16.129,68.911
GRDN,10580071.7,33.88,259.89418720325455,1.476,43.495
GRDX,305639.2,3.33,822.914658710889,15.015,134.144
GRI,177886.7,1.97,776.182721774425,25.381,159.271
GRML,760621.8,0.3883,836.3185885463076,128.766,160.007
GRMN,192715800.5,237.85,210.52418781421645,0.21,36.527
GRND,20032882.1,13.42,299.15497573132774,3.726,48.662
GRNQ,25364.3,1.69,658.0727154269218,29.586,157.409
GRNT,3547791.4,5.12,257.45639856973867,9.766,37.317
GRO,979141.7,2.48,552.0283479937051,20.161,87.186
GROV,55256.5,1.28,317.8934704488697,39.062,105.221
GROW,68939.1,2.67,262.321610070809,18.727,85.618
GROY,9076230.1,3.64,339.20719698381544,13.736,60.09
GRPN,22524735.4,17.61,454.9637162006549,2.839,52.598
GRWG,476180.1,1.51,487.5742476936122,33.113,71.586
GS,1823221165.9,916.65,196.7729341583555,0.055,17.903
GSAT,58142433.4,64.65,403.6728598129838,0.773,49.884
GSBC,4440628.9,64.08,161.54095509537697,0.78,26.376
GSBD,10896327.5,9.47,155.23767417928897,5.28,20.7
GSHD,20467669.5,64.4,385.04670053129615,0.776,58.807
GSIT,5516967.6,6.63,734.6339347322278,7.541,112.654
GSKH,16202.0,70.7168,166.51258414301634,0.707,30.509
GSL,11683710.5,37.79,179.9497257084305,1.323,18.658
GSRF,22082.6,10.065,8.364392603123799,4.968,7.288
GT,54311246.4,7.11,284.61969820289374,7.032,48.756
GTBP,397801.9,0.4706,791.0369789113698,106.247,126.663
GTE,2724414.9,6.25,478.1541998579539,8.0,64.811
GTES,50097692.0,25.42,254.84676108280507,1.967,42.559
GTIM,33673.7,1.3,278.92740711922835,38.462,100.404
GTLB,149517578.6,35.35,376.43822204703986,1.414,37.409
GTM,39776815.6,6.31,440.9578550474751,7.924,32.821
GTN,5433547.1,4.76,390.6793381593556,10.504,70.963
GTX,49099031.5,18.9,299.274432265866,2.646,41.928
GTY,12427224.8,32.31,126.6534310326835,1.548,15.169
GURE,53081.2,4.01,783.0171493093084,12.469,264.981
GUTS,1458846.0,0.796,566.2126477659202,62.814,102.003
GVA,71169603.1,121.57,197.1844939231425,0.411,30.091
GWAV,91137.7,4.18,721.9992566361874,11.962,181.164
GWH,593858.2,1.3,785.290097676867,38.462,120.904
GWRE,189688255.2,160.29,384.5826294917367,0.312,52.076
GWRS,621507.5,8.51,238.2201258797478,5.875,21.95
GWW,280311616.7,1117.18,148.32812639819142,0.045,27.521
GXAI,419595.0,1.22,764.2853773839807,40.984,126.645
GXO,58123799.6,52.47,256.2250982439106,0.953,30.892
GYRE,470935.6,7.39,358.5283544606618,6.766,70.969
GYRO,2262.9,8.7501,168.3048543523424,5.714,162.861
H,130196857.8,163.73,211.5240050251914,0.305,28.454
HAE,50909452.7,66.66,288.24574532601457,0.75,23.048
HAFC,6078177.5,28.09,190.55718290544738,1.78,22.68
HAFN,8668907.5,7.11,228.39614077444244,7.032,11.721
HAIN,1112082.2,0.856,588.4403815463152,58.411,105.773
HAL,381069706.1,33.87,225.24586017360699,1.476,35.775
HALO,126043075.2,70.25,225.29740522980651,0.712,15.533
HAPN,26775388.9,17.36,331.5361806057089,2.88,69.122
HAS,140223959.1,86.89,190.57375460896856,0.575,48.242
HASI,34086749.1,36.52,188.503847770707,1.369,40.672
HAYW,28462337.7,15.35,206.16354936200804,3.257,32.177
HBAN,423036910.5,17.02,165.95893076744844,2.938,23.493
HBB,395096.6,18.98,329.79324719577056,2.634,66.882
HBCP,3329229.9,61.08,153.5640377828813,0.819,29.382
HBIO,185695.4,0.761,541.1101311177682,65.703,89.449
HBM,110071278.4,22.51,393.8585979022211,2.221,27.491
HBNC,6329808.8,17.67,160.83701002355022,2.83,30.953
HBT,1261026.0,27.44,160.333990454264,1.822,36.252
HCA,529863387.2,434.78,194.00411653779588,0.115,27.148
HCAT,1377698.6,2.09,549.102479105911,23.923,72.583
HCC,60206590.4,85.51,321.81935296314623,0.585,51.212
HCI,25644734.2,174.97,193.87821561057152,0.286,41.85
HCKT,3965054.6,13.88,337.92972510376904,3.602,55.627
HCMA,78177.7,10.15,16.890075633181894,4.926,7.778
HCSG,12324557.3,19.54,257.39125337406506,2.559,83.452
HCTI,469998.6,2.26,799.1409828516249,22.124,126.361
HCWB,172811.2,1.923,893.5972883811427,26.001,166.566
HCWC,115513.0,0.2851,632.8051967183659,175.377,141.607
HD,1374913223.5,348.86,158.5917860458818,0.143,17.425
HDB,175553407.2,29.48,181.73706477801252,1.696,10.844
HDRN,346596.9,10.5,437.9015403868963,4.762,29.539
HDSN,2321029.8,6.44,322.6424899379096,7.764,43.269
HE,24905878.6,13.23,198.25872167622012,3.779,23.947
HEI,145244408.7,320.75,197.08642661746032,0.156,26.241
HELE,13661769.4,21.25,382.4929689528505,2.353,51.392
HELP,4604151.0,6.14,542.3293730790965,8.143,65.715
HESM,51519868.4,37.92,144.87427966872787,1.319,29.195
HFBL,12031.5,18.5,256.1774097928589,2.703,106.499
HFFG,230572.9,2.02,400.9161977502769,24.752,74.096
HFWA,6489931.8,26.45,168.3601227813943,1.89,23.106
HGBL,90718.7,1.31,274.5679138474915,38.168,86.206
HGTY,1585946.2,11.95,221.7282683233791,4.184,38.573
HGV,36483587.6,45.21,247.88443446263173,1.106,43.882
HHH,28092708.4,72.37,187.06875394605137,0.691,29.418
HHS,15979.6,2.855,447.4192602254636,17.513,186.195
HIFS,14510668.4,288.8,274.1505451616475,0.173,30.693
HIG,193870871.1,135.24,121.69894324929496,0.37,14.112
HIHO,19235.3,0.9296,545.5806562502502,53.787,217.833
HII,146660329.9,317.7,237.4936480549636,0.157,80.626
HIMS,536322621.9,31.23,567.4529172106111,1.601,76.41
HIND,72195.9,2.35,503.0340692012768,21.277,146.581
HIPO,4052117.6,30.27,232.879458014069,1.652,52.776
HIT,262847.9,1.39,614.3534225648692,35.971,121.396
HIW,32724065.0,27.51,174.21953648350444,1.818,26.672
HKIT,130903.7,1.86,1096.8567241269313,26.882,201.251
HL,354729037.2,17.55,462.89494290716203,2.849,70.262
HLF,18053793.5,12.57,361.9751876942403,3.978,41.659
HLI,87434386.6,160.87,190.57581036485934,0.311,15.639
HLIO,20148613.2,67.51,243.8171057650226,0.741,47.459
HLIT,11632133.0,10.4,315.7153722272575,4.808,50.701
HLLY,2272771.8,3.1,404.8159313880562,16.129,60.348
HLMN,9330933.0,8.66,242.89671211740904,5.774,29.755
HLNE,67274397.6,106.78,264.73552753731474,0.468,56.048
HLSQ,243257.0,0.6398,1077.9625707400714,78.149,234.061
HLT,505540217.1,304.95,148.09019666653214,0.164,21.287
HMN,10462986.3,45.58,130.98753416681606,1.097,23.425
HMR,59935.7,1.12,539.2605025056145,44.643,113.424
HMY,79125615.3,17.79,415.6696060892289,2.811,61.531
HNGE,62551357.2,49.74,346.5842010078222,1.005,61.345
HNI,24251441.4,42.1,225.77510958500986,1.188,29.293
HNNA,63175.0,9.99,174.48769809278144,5.005,71.647
HNRG,11182759.3,18.4,383.8897514077125,2.717,67.176
HNST,6098143.9,3.38,446.23352877148056,14.793,35.017
HNVR,365593.8,22.91,144.54465901135575,2.182,53.273
HODO,220900.1,0.6823,980.8857728981089,73.282,188.387
HOFT,407629.2,12.7,344.8996333391649,3.937,78.771
HOG,56759262.0,24.43,240.70421102787876,2.047,31.565
HOMB,36245317.1,28.28,132.66223785675024,1.768,26.825
HON,845951289.2,217.64,168.31742270693076,0.23,27.629
HOOD,2487490746.0,103.4,454.62470500615854,0.484,31.042
HOPE,10237974.4,11.82,164.75218738747927,4.23,19.752
HOS,12595149.3,8.85,281.2642245264743,5.65,50.422
HOUR,46430.0,1.92,611.6891772638413,26.042,94.143
