,EUR,GBP,JPY,AUD,CHF,CAD,NZD,SEK,NOK
2005-10-01,-1.9333809523809498,0.45701000000000036,-4.04,1.5,-3.407845619047619,-1.15,3.1500000000000004,-2.6399999999999997,-1.6799999999999997
2005-11-01,-1.9491363636363594,0.3084700000000007,-4.22,1.3200000000000003,-3.4444479090909086,-1.1039999999999996,3.2300000000000004,-2.8,-1.7699999999999996
2005-12-01,-1.97714285714286,0.1873199999999997,-4.3500000000000005,1.1799999999999997,-3.5169248,-1.1,3.21,-2.7600000000000002,-1.9000000000000004
2006-01-01,-2.0483181818181797,0.04368000000000016,-4.4563999999999995,1.0700000000000003,-3.6355105238095238,-1.1399999999999997,3.08,-2.7299999999999995,-2.0399999999999996
2006-02-01,-2.1196499999999996,-0.13800999999999952,-4.609999999999999,0.8900000000000006,-3.7232394999999996,-1.0899999999999999,2.8100000000000005,-2.79,-2.15
2006-03-01,-2.15739130434783,-0.2925899999999997,-4.7545,0.7300000000000004,-3.76680056521739,-1.12,2.6100000000000003,-2.92,-2.1599999999999997
2006-04-01,-2.2362222222222203,-0.4004000000000003,-4.890000000000001,0.6600000000000001,-3.85449783333333,-1.0700000000000003,2.4399999999999995,-2.9800000000000004,-2.2100000000000004
2006-05-01,-2.2610000000000006,-0.4485000000000001,-4.880000000000001,0.7199999999999998,-3.8480074285714303,-1.024,2.34,-3.0400000000000005,-2.2100000000000004
2006-06-01,-2.3643181818181795,-0.6150199999999995,-5.0,0.6100000000000003,-3.9772924285714297,-1.1099999999999994,2.12,-3.1399999999999997,-2.32
2006-07-01,-2.35780952380952,-0.7267799999999998,-5.02,0.5899999999999999,-4.03230471428571,-1.2599999999999998,2.0200000000000005,-3.18,-2.37
2006-08-01,-2.1535217391304298,-0.43574999999999964,-4.9479999999999995,0.8100000000000005,-3.85691136363636,-1.2480000000000002,2.1100000000000003,-2.9499999999999997,-2.15
2006-09-01,-2.00461904761905,-0.3149899999999999,-4.904,0.8700000000000001,-3.696631,-1.1899999999999995,2.2199999999999998,-2.8,-1.9699999999999998
2006-10-01,-1.8280000000000003,-0.1982400000000002,-4.883,0.9500000000000002,-3.5826199090909103,-1.1725000000000003,2.33,-2.59,-1.85
2006-11-01,-1.7228181818181802,-0.09456000000000042,-4.8180000000000005,1.0499999999999998,-3.5140382727272703,-1.1420000000000003,2.29,-2.4200000000000004,-1.7000000000000002
2006-12-01,-1.6357894736842105,-0.02833000000000041,-4.78,1.0699999999999994,-3.4115921764705903,-1.1600000000000001,2.34,-2.3200000000000003,-1.5200000000000005
2007-01-01,-1.56813636363636,0.16622999999999966,-4.78,1.1099999999999994,-3.26953076190476,-1.1640000000000006,2.38,-2.1100000000000003,-1.3400000000000003
2007-02-01,-1.4917999999999996,0.25570000000000004,-4.6499999999999995,1.0600000000000005,-3.1986784499999996,-1.13,2.4400000000000004,-2.0199999999999996,-1.1099999999999994
2007-03-01,-1.4090909090909096,0.24946000000000002,-4.64,1.13,-3.14012522727273,-1.1324999999999994,2.58,-2.04,-0.8700000000000001
2007-04-01,-1.3347368421052597,0.3389900000000008,-4.659999999999999,1.1700000000000008,-3.0861332631578895,-1.1475,2.670000000000001,-1.9699999999999998,-0.7699999999999996
2007-05-01,-1.2386363636363598,0.4574200000000008,-4.64,1.0600000000000005,-2.9931617499999996,-1.1199999999999992,2.7800000000000002,-1.9099999999999997,-0.71
