pattern_id,leg,weight,fwd_return
lps_overnight_l21_h21,long,0.005758427222541322,0.07828699165894948
lps_overnight_l21_h21,long,0.005758427222541322,0.050051322699252276
lps_overnight_l21_h21,short,0.014395114268481338,0.03496942058821739
lps_overnight_l21_h21,short,0.014395114268481338,0.03469294344639917
lps_overnight_l21_h21,short,0.014395114268481338,0.024212838395781144
lps_overnight_l21_h21,short,0.014395114268481338,0.10568513613378783
lps_overnight_l21_h21,short,0.014395114268481338,0.15282300983194075
lps_overnight_l21_h21,short,0.014395114268481338,0.10000000000000009
lps_overnight_l21_h21,short,0.014395114268481338,0.07304805677966186
lps_overnight_l21_h21,short,0.014395114268481338,0.10409200271096308
lps_overnight_l21_h21,short,0.014395114268481338,-0.01744736437074823
lps_overnight_l21_h21,short,0.014395114268481338,0.022523078729091095
lps_overnight_l21_h21,short,0.014395114268481338,0.02055536040862238
lps_overnight_l21_h21,short,0.014395114268481338,0.08770849952974502
lps_overnight_l21_h21,short,0.014395114268481338,0.07047246802954632
lps_overnight_l21_h21,short,0.014395114268481338,0.022596111584704204
lps_overnight_l21_h21,short,0.014395114268481338,0.009237322089428623
lps_overnight_l21_h21,short,0.014395114268481338,0.037998714333934425
lps_overnight_l21_h21,short,0.014395114268481338,0.04345581551726552
lps_overnight_l21_h21,short,0.014395114268481338,-0.03608920607076527
lps_overnight_l21_h21,short,0.014395114268481338,-0.016224506381913972
lps_overnight_l21_h21,short,0.014395114268481338,0.027751043313612778
lps_overnight_l21_h21,short,0.014395114268481338,-0.017498081668895327
lps_overnight_l21_h21,short,0.014395114268481338,0.02862897862799607
lps_overnight_l21_h21,short,0.014395114268481338,0.05120612943048464
lps_overnight_l21_h21,short,0.014395114268481338,0.02504165876013964
lps_overnight_l21_h21,short,0.014395114268481338,0.037726701805375074
lps_overnight_l21_h21,short,0.014395114268481338,0.0629710632248035
lps_overnight_l21_h21,short,0.014395114268481338,0.08217949886589349
lps_overnight_l21_h21,short,0.014395114268481338,0.1015109130903531
lps_overnight_l21_h21,short,0.014808751511506572,0.049846810725682866
lps_overnight_l21_h21,short,0.015203148583161696,-0.018927607395693657
lps_overnight_l21_h21,short,0.019994215967751715,0.00984686858015893
lps_overnight_l21_h21,short,0.0228985313782075,0.05194072264566385
lps_overnight_l21_h21,short,0.023151959125535373,0.07071404830201344
lps_overnight_l21_h21,short,0.024414902803015694,0.010999464948413529
lps_overnight_l21_h21,short,0.02662826006626078,0.17586121494555562
lps_overnight_l21_h21,short,0.029470766352590775,0.05475931221827146
lps_overnight_l21_h21,short,0.03127229097252674,0.054393553518221616
lps_overnight_l21_h21,short,0.03324924384078257,0.11204892188852855
lps_overnight_l21_h21,short,0.03522276545017092,0.034807163807810904
lps_overnight_l21_h21,short,0.035437875934758674,0.06352964756085266
lps_overnight_l21_h21,short,0.03818502074612132,0.06694109961100536
lps_overnight_l21_h21,short,0.03891962404915854,0.051980546707849795
