symbol,bound,year,n_excursions,mean_duration_hours,median_duration_hours,mean_abs_entry_rho
NEARUSDT,retail_taker,2022,8,56.625,32.0,5.415385832088352
NEARUSDT,retail_taker,2023,11,11.090909090909092,4.0,5.86279383222246
NEARUSDT,retail_taker,2024,2,6.0,6.0,9.242835581856223
NEARUSDT,retail_taker,2026-partial,2,10.0,10.0,3.350833213030182
AVAXUSDT,high_tier,2020,208,7.2548076923076925,3.0,2.551552692661406
AVAXUSDT,high_tier,2021,298,16.92281879194631,5.0,3.0888979397959977
AVAXUSDT,high_tier,2022,100,19.59,11.0,2.0667455199246327
AVAXUSDT,high_tier,2023,71,18.760563380281692,11.0,2.1812737933727075
AVAXUSDT,high_tier,2024,6,215.66666666666666,14.5,3.414547217309718
AVAXUSDT,high_tier,2025,22,25.545454545454547,11.5,2.0163311912691233
AVAXUSDT,high_tier,2026-partial,49,9.938775510204081,7.0,1.9672219610683643
AVAXUSDT,retail_taker,2020,69,13.46376811594203,7.0,4.061063528842692
AVAXUSDT,retail_taker,2021,105,23.914285714285715,8.0,5.562895556961926
AVAXUSDT,retail_taker,2022,6,19.166666666666668,15.5,4.804485880835421
AVAXUSDT,retail_taker,2023,2,11.0,11.0,8.299707434125581
AVAXUSDT,retail_taker,2024,2,390.0,390.0,7.02331961144197
AVAXUSDT,retail_taker,2025,1,64.0,64.0,3.8256987577640356
AAVEUSDT,high_tier,2020,167,7.137724550898204,3.0,2.858740587248018
AAVEUSDT,high_tier,2021,195,23.338461538461537,9.0,2.9023106758494093
AAVEUSDT,high_tier,2022,397,6.110831234256927,4.0,2.139804043296106
AAVEUSDT,high_tier,2023,191,7.570680628272251,3.0,2.115903909215069
AAVEUSDT,high_tier,2024,24,92.875,43.5,2.067351737084229
AAVEUSDT,high_tier,2025,1,146.0,146.0,3.076679053747963
AAVEUSDT,retail_taker,2020,64,10.375,6.0,4.774670288991919
AAVEUSDT,retail_taker,2021,68,28.647058823529413,10.5,5.556327588289248
AAVEUSDT,retail_taker,2022,10,9.8,4.0,3.6183607176781747
AAVEUSDT,retail_taker,2023,8,4.0,3.5,5.950639902914464
AAVEUSDT,retail_taker,2024,1,3.0,3.0,3.3155026241417653
FILUSDT,high_tier,2020,60,20.766666666666666,10.5,7.988288272997126
FILUSDT,high_tier,2021,79,46.949367088607595,14.0,3.5323346187243305
FILUSDT,high_tier,2022,447,4.648769574944072,2.0,2.2583391377411046
FILUSDT,high_tier,2023,21,69.23809523809524,38.0,3.47106281326664
FILUSDT,high_tier,2024,9,195.11111111111111,90.0,3.0834219503880806
FILUSDT,high_tier,2025,75,9.946666666666667,6.0,2.3308608853080823
FILUSDT,high_tier,2026-partial,370,6.235135135135135,4.0,2.4304397263435535
FILUSDT,retail_taker,2020,27,28.555555555555557,11.0,15.956283947401586
FILUSDT,retail_taker,2021,34,42.0,24.5,6.634382487763248
FILUSDT,retail_taker,2022,17,12.411764705882353,6.0,3.748849255640999
FILUSDT,retail_taker,2023,3,58.666666666666664,29.0,11.406055473384123
FILUSDT,retail_taker,2024,2,467.0,467.0,7.895338500900451
FILUSDT,retail_taker,2025,4,16.5,20.0,6.597607678879651
FILUSDT,retail_taker,2026-partial,21,8.238095238095237,5.0,3.6324878908746827
BCHUSDT,high_tier,2019,7,8.142857142857142,2.0,3.5781301709245885
BCHUSDT,high_tier,2020,59,67.50847457627118,16.0,2.9023075567479855
BCHUSDT,high_tier,2021,46,69.23913043478261,32.0,3.0743826813137516
BCHUSDT,high_tier,2022,127,22.874015748031496,13.0,2.045924083515488
BCHUSDT,high_tier,2023,102,28.568627450980394,12.0,2.0760549785602183
BCHUSDT,high_tier,2024,25,157.92,46.0,2.002037866199992
BCHUSDT,high_tier,2025,3,1769.3333333333333,2466.0,2.087727549801779
BCHUSDT,high_tier,2026-partial,4,656.5,176.5,2.156814336379458
BCHUSDT,retail_taker,2019,2,2.0,2.0,6.481053331197296
BCHUSDT,retail_taker,2020,18,83.38888888888889,8.0,6.0101341472969265
BCHUSDT,retail_taker,2021,13,52.30769230769231,31.0,6.7730952727481855
BCHUSDT,retail_taker,2022,6,46.5,38.5,3.5731087057962725
BCHUSDT,retail_taker,2023,10,56.9,46.0,5.91138034496617
