symbol,year,n_hours,active_pct_high_tier,active_pct_retail_taker,share_beyond_high_tier,share_above_high_u,share_below_high_l,share_beyond_retail_taker,rho_mean,rho_median,rho_p05,rho_p95,rho_ma7_mean,rho_ma7_median,rho_ma7_p05,rho_ma7_p95
ZECUSDT,2025,8760,0.5296803652968036,0.16643835616438357,0.20742009132420092,0.027968036529680364,0.17945205479452056,0.03904109589041096,-0.20762860587305929,-0.8913006869839551,-2.624352155484036,0.7531343157557405,-0.2040411580825689,-0.9873285513044643,-1.944143024314996,0.015365679125181565
ZECUSDT,2026-partial,6078,0.34616650213886146,0.007239223428759461,0.008061862454754853,0.0009871668311944718,0.007074695623560382,0.0006581112207963146,-0.6372472452177481,-0.6137608995137106,-1.219844944780102,-0.15950884973227167,-0.639784151781416,-0.6422806360666313,-0.9598480340008864,-0.3693320269925676
ZECUSDT,All,57806,0.44654534131405044,0.09990312424315816,0.15799397986368197,0.0867557001003356,0.07123827976334636,0.018908071826454,0.024869326584981588,-0.30998608284666107,-2.037841191067108,2.1817764197648213,0.03029508176321661,-0.47848995290297847,-1.277903759721738,1.8348348937162986
LINKUSDT,2020,8374,0.4866252686887987,0.21053260090757106,0.17363267255791737,0.10855027465966086,0.06508239789825651,0.04060186290900406,0.23322807850251556,0.2654139100350056,-2.0011711083853037,2.4330332418133427,0.24870661959384643,0.202311140869865,-1.3152812779528638,1.7630129438759297
LINKUSDT,2021,8747,0.476963530353264,0.19252315079455815,0.16096947524865668,0.15994055104607294,0.001028924202583743,0.029838801874928548,0.8045272432282734,0.7625348189413711,-0.7460580438900005,2.767141095874733,0.8135382972497588,0.877999123682326,-0.4774056078874114,2.5376319246998404
LINKUSDT,2022,8760,0.12248858447488585,0.0015981735159817352,0.02454337899543379,0.00011415525114155251,0.02442922374429224,0.00045662100456621003,-0.6113894297273504,-0.608883022334264,-1.463668221180497,0.26117834444936544,-0.6081457347671536,-0.6270666313280665,-0.8609429115089864,-0.287898281020877
LINKUSDT,2023,8759,0.08300034250485215,0.016668569471400847,0.0014841876926589793,0.0012558511245575978,0.00022833656810138144,0.00022833656810138144,-0.20967430433912504,-0.40970316787207084,-0.9148481469516248,1.043788086086856,-0.2257621163525566,-0.47734624301343265,-0.6845408773588123,0.8430319237103303
LINKUSDT,2024,8784,0.20913023679417123,0.000569216757741348,0.009448998178506375,0.008310564663023679,0.001138433515482696,0.00011384335154826958,-0.012982237253290082,-0.15682623976987664,-1.1176394620238839,1.359522554417213,0.0018386727279409126,-0.25901864242043726,-0.736021022694139,1.206462944889613
LINKUSDT,2025,8760,0.021004566210045664,0.006621004566210046,0.0013698630136986301,0.0,0.0013698630136986301,0.00011415525114155251,-0.5122617897364201,-0.504840940525586,-1.2474212542721084,0.21604202489059962,-0.5115179000894936,-0.5518387935544938,-0.6928672750130365,-0.2420837750449669
LINKUSDT,2026-partial,6078,0.04837117472852912,0.0,0.010529779532741033,0.0,0.010529779532741033,0.0,-0.5970840667583105,-0.6004054037033862,-1.4603245165591205,0.3057752721923592,-0.5956931708822707,-0.596735774700559,-0.7483489955347592,-0.4192473184102609
