symbol,company_name,market,first_trading_date,delisting_date,reason
SCBB,THE SIAM COMMERCIAL BANK PUBLIC COMPANY LIMITED,SET,12 Feb 1976,27 Apr 2022,The company requests for voluntary delisting
SCBL,SIAM COMMERCIAL LEASING PUBLIC COMPANY LIMITED,SET,01 Jun 1993,14 Sep 2007,The company requests for voluntary delisting
SCBLIF,SCB LIFE ASSURANCE PUBLIC COMPANY LIMITED,SET,01 Nov 1988,20 May 2015,The company requests for voluntary delisting
SCBT,STANDARD CHARTERED BANK (THAI) PUBLIC COMPANY LIMITED,SET,02 Nov 1983,23 Oct 2007,The company requests for voluntary delisting
SCCF,SIAM CITY CREDIT FINANCE & SECURITIES PUBLIC COMPANY LIMITED,SET,01 Feb 1993,25 Dec 1997,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
SCCL,-,SET,02 Aug 1978,18 Dec 1986,-
SCF,SCF FINANCE AND SECURITIES PUBLIC COMPANY LIMITED,SET,04 Dec 1992,25 Dec 1997,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
S-CHEM,THE SIAM CHEMICALS PUBLIC COMPANY LIMITED,SET,10 May 1991,30 Mar 2000,The company requests for voluntary delisting
SCIB,SIAM CITY BANK PUBLIC COMPANY LIMITED,SET,16 Aug 1988,13 Dec 2010,The company requests for voluntary delisting
SCLL,-,SET,16 Aug 1984,18 Dec 1986,-
SC-O,SONGKLA CANNING PUBLIC COMPANY LIMITED,SET,11 Nov 1988,31 Mar 1999,-
SDF,SRI DHANA FINANCE PUBLIC COMPANY LIMITED,SET,14 Nov 1990,25 Dec 1997,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
SECC,S.E.C. AUTO SALES AND SERVICES PUBLIC COMPANY LIMITED,SET,18 May 2006,24 Jul 2014,SET command de-lists because they fail to submit financial statements
SF,SIAM FUTURE DEVELOPMENT PUBLIC COMPANY LIMITED,SET,17 Dec 2002,01 Jun 2022,The company requests for voluntary delisting
SFP,SIAM FOOD PRODUCTS PUBLIC COMPANY LIMITED,SET,19 Jul 1985,19 Jul 2023,The company requests for voluntary delisting
SHREIT,STRATEGIC HOSPITALITY EXTENDABLE FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,27 Dec 2017,18 Aug 2023,Others
SI,-,SET,17 Nov 1980,29 Apr 1987,-
SICCO,THE SIAM INDUSTRIAL CREDIT PUBLIC COMPANY LIMITED,SET,09 Dec 1988,07 Oct 2011,The company requests for voluntary delisting
SINGHA,SINGHA PARATECH PUBLIC COMPANY LIMITED,SET,19 Dec 2003,26 Nov 2015,SET command de-lists because they violate SET's rule and regulations
SIRIP,SIRI PRIME OFFICE PROPERTY FUND,SET,09 Apr 2014,06 Nov 2024,Others
SIRIPF,BAAN SANSIRI PROPERTY FUND,SET,26 Sep 2005,16 Sep 2010,-
SITCA,SITCA INVESTMENT & SECURITIES PUBLIC COMPANY LIMITED,SET,02 Jun 1993,25 Dec 1997,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
SLM,SLM CORPORATION PUBLIC COMPANY LIMITED,mai,31 Jan 2002,30 Oct 2024,SET command de-lists because they violate SET's rule and regulations
SMC,SMC POWER PUBLIC COMPANY LIMITED,SET,06 Jan 1989,29 Sep 2016,Others
SMG,SAMAGGI INSURANCE PUBLIC COMPANY LIMITED,SET,25 Sep 1986,02 Jun 2016,The company requests for voluntary delisting
SMK,SYN MUN KONG INSURANCE PUBLIC COMPANY LIMITED,SET,07 Jun 1991,07 Nov 2024,Others
SOMPR,SOMPRASONG LAND PUBLIC COMPANY LIMITED,SET,21 Nov 1991,12 Jun 1998,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
SPF,SAMUI AIRPORT PROPERTY FUND (LEASEHOLD),SET,24 Nov 2006,31 Jul 2021,-
SPORT,SIAM SPORT SYNDICATE PUBLIC COMPANY LIMITED,SET,13 Mar 1996,28 Feb 2020,The company requests for voluntary delisting
